id,username,created_at,lng,lat,text
1516563845292060673,Punished_Shoog,Tue Apr 19 23:46:11 +0000 2022,-122.43027699999999,48.753352500000005,@zhdanovmalewife If you want the barking to stop we must BREAK THE CHAINS OF OUR DOWNTRODDEN GOOD DOGS!
1516563946525790211,pratt_gr,Tue Apr 19 23:46:35 +0000 2022,-122.16452749999999,48.088757,This is stunning…truly identical 😉😉#Dreamyclouds https://t.co/0us5YovTwS
1516563985520537600,onthetripside,Tue Apr 19 23:46:45 +0000 2022,-122.3306025,47.614817,Morning walk through the cherry blossoms. 😍🌸 https://t.co/pHwMoBJdP6
1516564013265551363,Punished_Shoog,Tue Apr 19 23:46:51 +0000 2022,-122.43027699999999,48.753352500000005,@twinkypups @TheOnlyHeem I will definitely watch this and do more research.
1516564034807508995,LeazeLouise,Tue Apr 19 23:46:56 +0000 2022,-122.3306025,47.614817,Definitely missed my stop lol
1516564072988221445,gibbydans,Tue Apr 19 23:47:06 +0000 2022,-122.3115775,47.506341500000005,I was slightly inconvenienced today so I just bought another Louis bag to make me feel better
1516564073147641858,Leakri,Tue Apr 19 23:47:06 +0000 2022,-120.58340150000001,44.1454365,@JoJoFromJerz Florida is stupid
1516564088620388359,notsarahfry,Tue Apr 19 23:47:09 +0000 2022,-122.3306025,47.614817,i need to be at a thrift store in the middle of nowhere
1516564094827991042,Seasherm,Tue Apr 19 23:47:11 +0000 2022,-122.3306025,47.614817,"@angel_0f_deathx For me , it's the Rapture and I'm pretty sure it happened yesterday. Now I have a new car."
1516564145176383492,J_McDonald81,Tue Apr 19 23:47:23 +0000 2022,-120.58340150000001,44.1454365,Sam Schindler rips a 2rbi double and Blanchet retakes the lead.  3-2 over Scio. @MidMajorMedia @OregonPredict https://t.co/plh6nh0Qn6
1516564159785095172,pratt_gr,Tue Apr 19 23:47:26 +0000 2022,-122.16452749999999,48.088757,@hollerszee 6’-1” on Twitter
1516564266744107010,AliBradleyTV,Tue Apr 19 23:47:52 +0000 2022,-122.07487549999999,47.743503000000004,TX: Eagle Pass: Coyotes on inner tubes retreating back to Mexico after my LE source says they offloaded migrants at… https://t.co/T6tnZuUb04
1516564269168566273,digbymedia,Tue Apr 19 23:47:52 +0000 2022,-122.3308,47.6046,"Just posted a photo @ Seattle, Washington https://t.co/yBmcJXdj0U"
1516564287052992517,jyscale,Tue Apr 19 23:47:57 +0000 2022,-121.988,47.8577,"Cheeseboard making class. So much fun. Thank you @ Monroe, Washington https://t.co/Z4WyYmGfFk"
1516564315322855426,jamespauldillon,Tue Apr 19 23:48:03 +0000 2022,-117.434547,47.667438,@danielwinlander @Blaine_Stum Didn’t the Continuum of Care vote it down?
1516564323262369794,jakelitwicki,Tue Apr 19 23:48:05 +0000 2022,-121.997994,47.357398,Tuesday walk views. https://t.co/VpAil2hC2a
1516564385153515521,rakune,Tue Apr 19 23:48:20 +0000 2022,-122.194398,47.481598,@TerralunaBat Hoppy Birdday!
1516564393445580803,sarbuttzie,Tue Apr 19 23:48:22 +0000 2022,-123.52138149999999,48.45597,I made a lot of unhealthy snacking choices today. Thanks a lot Easter. I shall try and do better tomorrow.
1516564423892037633,SRTMC,Tue Apr 19 23:48:29 +0000 2022,-117.41593313,47.6527786,"Cleared: Blocking Collision in Spokane on I-90 WB at Division MP 281.0 , right lane blocked,."
1516564454351073282,curtailes,Tue Apr 19 23:48:36 +0000 2022,-122.3306025,47.614817,"Transit Tuesday. Seattle, Chinatown International District station. https://t.co/zaZOvgd6UP"
1516564479848312837,Seasherm,Tue Apr 19 23:48:43 +0000 2022,-122.3306025,47.614817,@TSharraRahl Yes. I remember this from 2nd grade.
1516564559577817094,sl0wburnTV,Tue Apr 19 23:49:02 +0000 2022,-122.061771,47.67881250000001,@goldnpersephone So… I should have a lazy day with this man?
1516564561712738306,Chrisinsumner,Tue Apr 19 23:49:02 +0000 2022,-122.2304745,47.2210135,"@Walter_Kelley ""i'll take the over for a Thousand, Alex"".."
1516564622932791296,MaileZ,Tue Apr 19 23:49:17 +0000 2022,-122.04254449999999,47.542814,Created an event for the @LOTKraken
1516564632923639809,Curlynep,Tue Apr 19 23:49:19 +0000 2022,-122.3306025,47.614817,@MissMondayM If you want something part time I think Cortina is
1516564644785053698,JestineJulia,Tue Apr 19 23:49:22 +0000 2022,-122.3306025,47.614817,Can't wait for warmer weather to ride more https://t.co/7MKUz31LdK
1516564646441865217,reallyreshad,Tue Apr 19 23:49:22 +0000 2022,-114.14326249999999,45.4945515,That’s pretty ✨😩
1516564661784629251,Hawkfather1,Tue Apr 19 23:49:26 +0000 2022,-122.16452749999999,48.088757,Gotta light?
1516564671146340357,tmj_WA_finance,Tue Apr 19 23:49:28 +0000 2022,-122.3356196,47.5802366,"Click the link in our bio to see currently open #Finance jobs like ""senior accountant, Global Consolidations"" at Starbucks in #Seattle, WA."
1516564696693764099,BrianUnbothered,Tue Apr 19 23:49:34 +0000 2022,-117.434547,47.667438,Thinking about getting a nose ring lol
1516564700514770948,hiphopking43,Tue Apr 19 23:49:35 +0000 2022,-122.3306025,47.614817,I don't like wearing a mask and i know some of y'all feel the same way but I'll still wear it while I'm riding the… https://t.co/bsCY6Dp2nx
1516564725122875392,Logan6962,Tue Apr 19 23:49:41 +0000 2022,-96.3073065,65.8381145,18 Bi Fit Twink from canada looking to snap/kik ;) 🇨🇦 🔞   #gaysnap #gay #gaysnapchat #bisnap #bisnapchat #gaycanada… https://t.co/4yb9Si8Sgy
1516564783096426498,jicmagik,Tue Apr 19 23:49:55 +0000 2022,-122.347285,47.465059,"@mscisto the hot dogs slapped way too hard, especially at 2 am"
1516564831087697920,tadert0t_,Tue Apr 19 23:50:06 +0000 2022,-120.58340150000001,44.1454365,it’s so frustrating growing to hate something you used to find therapeutic
1516564839786635265,deandreindacut,Tue Apr 19 23:50:08 +0000 2022,-122.149768,47.5978565,Me and who 👀
1516564843901308932,nate_mitchell21,Tue Apr 19 23:50:09 +0000 2022,-120.58340150000001,44.1454365,MIGHTY LIBERTY THE SECOND MOST MASSIVE CLUB IN THE WORLD!!!!!!!!!!!! 🔥
1516564857599848449,kingceleryman,Tue Apr 19 23:50:13 +0000 2022,-122.3306025,47.614817,@feminemi1y I don't know if it is a sign to quit but it is certainly a sign that your company doesn't understand ho… https://t.co/VkMXlpBmog
1516564876247719937,MajorTom617,Tue Apr 19 23:50:17 +0000 2022,-122.20190500000001,47.680319,I'm surprised it took this long for someone to light their mask on fire on a plane.
1516564896065892352,suestroud,Tue Apr 19 23:50:22 +0000 2022,-123.42183800000001,48.5819835,@CharlieAngusNDP @AngelsGrievous Lol Bob Dylan vibes all over that picture Charlie!
1516564915200225281,Kyushawnie,Tue Apr 19 23:50:26 +0000 2022,-122.3306025,47.614817,agree!!!
1516564964298813445,PugetSoundFire,Tue Apr 19 23:50:38 +0000 2022,-122.031668,47.373340999999996,"Patient has been extricated, Summit Landsburg road is closed. https://t.co/YHfemWDHFK"
1516564971538161665,blkedve,Tue Apr 19 23:50:40 +0000 2022,-122.138874,47.7252275,@wombattbrooks @foxgraves same
1516564985794547714,aquariumpapi,Tue Apr 19 23:50:43 +0000 2022,-122.3306025,47.614817,cant tell if im actually feeling sick or if its just cuz im at work lol
